Restaurant_Name,Rating,Cuisine_Type,Cost_for_One,Delivery_Time (min),OFF_offer,Url_link
Puliyogare Point,4.2,"South Indian, Desserts",¹ 100.00,41,Flat 10% OFF,https://www.zomato.com/bangalore/puliyogare-point-basavanagudi/order
Ambur Hot Dum Biryani,4.2,"Biryani, South Indian, Kebab",¹ 100.00,45,NA,https://www.zomato.com/bangalore/ambur-hot-dum-biryani-btm/order
Samosa Party,4.4,"Street Food, Tea, North Indian, Beverages, Mithai, Desserts",¹ 100.00,33,10% OFF,https://www.zomato.com/bangalore/samosa-party-brigade-road-bangalore/order
Biryani By Kilo,4.2,"Biryani, Hyderabadi, Kebab, North Indian, Mithai, Beverages",¹ 100.00,65,30% OFF,https://www.zomato.com/bangalore/biryani-by-kilo-koramangala-6th-block-bangalore/order
Lassi Shop,3.5,"Beverages, Shake, Juices, Ice Cream, Desserts, Burger, Fast Food",¹ 100.00,22,NA,https://www.zomato.com/bangalore/lassi-shop-1-residency-road-bangalore/order
Asha Sweet Center - Since 1951,4,"North Indian, Mithai, Fast Food",¹ 100.00,29,NA,https://www.zomato.com/bangalore/asha-sweet-center-since-1951-shanti-nagar-bangalore/order
Sai Prasadam,4.1,"South Indian, North Indian, Chinese",¹ 100.00,47,   125 OFF,https://www.zomato.com/bangalore/sai-prasadam-vijay-nagar-bangalore/order
Shivanna Military Hotel,4,"South Indian, Biryani, Chinese, Street Food",¹ 100.00,41,NA,https://www.zomato.com/bangalore/shivanna-military-hotel-basaveshwara-nagar-bangalore/order
Nahdi Mandi,4.2,Mandi,¹ 100.00,58,NA,https://www.zomato.com/bangalore/nahdi-mandi-btm-bangalore/order
Hotel N.G.T Non Veg,4.1,"Biryani, South Indian, Chinese",¹ 100.00,45,NA,https://www.zomato.com/bangalore/hotel-n-g-t-non-veg-vijay-nagar-bangalore/order
Priyadarshini Grand,4.4,"South Indian, North Indian, Chinese, Street Food, Mithai, Beverages, Ice Cream",¹ 100.00,47,NA,https://www.zomato.com/bangalore/priyadarshini-grand-basaveshwara-nagar/order
IDC Kitchen,4.3,"South Indian, Beverages",¹ 100.00,26,Free Kesari Bhath,https://www.zomato.com/bangalore/idc-kitchen-richmond-road-bangalore/order
Krishna Vaibhava,4.2,"South Indian, North Indian, Mithai, Chinese, Biryani",¹ 100.00,49,20% OFF,https://www.zomato.com/bangalore/krishna-vaibhava-vijay-nagar-bangalore/order
Desi Masala,4.1,"North Indian, Chinese, Biryani",¹ 100.00,46,NA,https://www.zomato.com/bangalore/desi-masala-1-majestic-bangalore/order
Daily Kitchen - Homely Meals,4.4,"North Indian, Desserts, Beverages",¹ 100.00,34,50% OFF,https://www.zomato.com/bangalore/daily-kitchen-homely-meals-langford-town-bangalore/order
Call Me Chow,4.1,"Chinese, Japanese, Thai, Indonesian, Asian",¹ 100.00,55,50% OFF,https://www.zomato.com/bangalore/call-me-chow-koramangala-8th-block-bangalore/order
Smoor,4.4,"Desserts, Bakery, Cafe, Beverages, Ice Cream, Asian, Pasta",¹ 100.00,24,   175 OFF,https://www.zomato.com/bangalore/smoor-lavelle-road-bangalore/order
Kolkata Kathi Rolls,3.7,"Rolls, Biryani, Chinese, North Indian, Sichuan",¹ 100.00,56,40% OFF,https://www.zomato.com/bangalore/kolkata-kathi-rolls-jp-nagar/order
Sangam Sweets - Since 1964,4.3,"Mithai, Street Food, Fast Food",¹ 100.00,38,NA,https://www.zomato.com/bangalore/sangam-sweets-since-1964-majestic-bangalore/order
Glen`s Bakehouse,4.2,"Bakery, Cafe, Italian, Continental, Fast Food, Beverages, Desserts",¹ 250.00,22,NA,https://www.zomato.com/bangalore/glen-s-bakehouse-lavelle-road-bangalore/order
LunchBox - Meals and Thalis,3.9,"North Indian, Biryani, Mughlai",¹ 250.00,39,   150 OFF,https://www.zomato.com/bangalore/lunchbox-meals-and-thalis-shanti-nagar-bangalore/order
Oven Story Pizza - Standout Toppings,4.5,"Pizza, Italian, Pasta",¹ 250.00,29,   150 OFF,https://www.zomato.com/bangalore/oven-story-pizza-standout-toppings-shanti-nagar-bangalore/order
Baskin Robbins - Ice Cream Desserts,4,"Ice Cream, Desserts, Shake, Bakery",¹ 250.00,31,NA,https://www.zomato.com/bangalore/baskin-robbins-ice-cream-desserts-2-brigade-road-bangalore/order
Brothers Biriyani,4,"Biryani, South Indian",¹ 250.00,48,NA,https://www.zomato.com/bangalore/brothers-biriyani-basavanagudi-bangalore/order
Punjabi Nawabi,3.8,"North Indian, Biryani, Mughlai, Chinese, Kebab",¹ 250.00,50,60% OFF,https://www.zomato.com/bangalore/punjabi-nawabi-koramangala-7th-block-bangalore/order
The Punjabi Rasoi,4.1,"North Indian, Mughlai",¹ 250.00,59,NA,https://www.zomato.com/bangalore/the-punjabi-rasoi-indiranagar/order
Kannur Food Kitchen,3.7,"Kerala, Biryani, South Indian, Arabian, Beverages, Juices, Shake, Chinese",¹ 250.00,50,50% OFF,https://www.zomato.com/bangalore/kannur-food-kitchen-btm-bangalore/order
WarmOven Cake & Desserts,3.6,"Bakery, Desserts, Ice Cream, Shake, Beverages",¹ 250.00,42,50% OFF,https://www.zomato.com/bangalore/warmoven-cake-desserts-vasanth-nagar-bangalore/order
"Frozen Bottle - Milkshakes, Desserts And Ice Cream",4.1,"Shake, Beverages, Desserts, Ice Cream, Waffle, Healthy Food",¹ 250.00,27,20% OFF,https://www.zomato.com/bangalore/frozen-bottle-milkshakes-desserts-and-ice-cream-brigade-road-bangalore/order
Shivaji Military Hotel - Since 1935,4,"Biryani, South Indian",¹ 250.00,53,NA,https://www.zomato.com/bangalore/shivaji-military-hotel-since-1935-jayanagar-bangalore/order
Haldiram's Restaurant,3.7,"Mithai, South Indian, North Indian, Sandwich, Street Food, Biryani, Beverages",¹ 250.00,40,   100 OFF,https://www.zomato.com/bangalore/haldirams-restaurant-seshadripuram-bangalore/order
Namo Andhra,4.2,Andhra,¹ 150.00,46,20% OFF,https://www.zomato.com/bangalore/namo-andhra-frazer-town-bangalore/order
Savi Sagar,3.9,"North Indian, South Indian, Chinese, Sandwich, Street Food, Ice Cream, Juices, Beverages",¹ 150.00,39,NA,https://www.zomato.com/bangalore/savi-sagar-malleshwaram-bangalore/order
Great Indian Khichdi by EatFit,4.3,"North Indian, Healthy Food, South Indian, Fast Food, Mithai, Juices, Desserts, Beverages",¹ 150.00,33,60% OFF,https://www.zomato.com/bangalore/great-indian-khichdi-by-eatfit-1-vasanth-nagar-bangalore/order
Mandya Nati Style,3.6,"South Indian, Biryani",¹ 150.00,42,60% OFF,https://www.zomato.com/bangalore/mandya-nati-style-vijay-nagar-bangalore/order
Afghani Tandoori Hub,3.3,"Biryani, North Indian, Chinese, Fast Food, Street Food, Sichuan, Desserts, Beverages",¹ 150.00,48,60% OFF,https://www.zomato.com/bangalore/afghani-tandoori-hub-btm-bangalore/order
Halli Jonne Biriyani,4.2,"Biryani, South Indian",¹ 150.00,50,NA,https://www.zomato.com/bangalore/halli-jonne-biriyani-jayanagar/order
Chowman,4.2,"Chinese, Thai, Asian, Seafood, Sichuan, Desserts, Beverages",¹ 150.00,49,   100 OFF,https://www.zomato.com/bangalore/chowman-hosur-road-bangalore/order
Hari Super Sandwich,3.8,"Street Food, Sandwich, Fast Food, Pizza, Burger",¹ 150.00,29,Flat 20% OFF,https://www.zomato.com/bangalore/hari-super-sandwich-brigade-road-bangalore/order
Goli Vada Pav No. 1,4.1,"Fast Food, Street Food, Maharashtrian, Rolls, Ice Cream",¹ 150.00,42,NA,https://www.zomato.com/bangalore/goli-vada-pav-no-1-jayanagar-bangalore/order
Basaveshwar Khanavali,4.4,South Indian,¹ 150.00,33,NA,https://www.zomato.com/bangalore/basaveshwar-khanavali-2-residency-road-bangalore/order
