Restaurant_Name,Rating,Cuisine_Type,Cost_for_One,Delivery_Time (min),OFF_offer,Url_link
Pizzeria House,3.4,"Pizza, Italian, Fast Food, Desserts, Shake, Beverages",¹ 100.00,60,NA,https://www.zomato.com/bangalore/pizzeria-house-jayanagar-bangalore/order
Kebab Xpress,3.9,"North Indian, Chinese, Mughlai, Parsi, Kebab",¹ 100.00,54,NA,https://www.zomato.com/bangalore/kebab-xpress-banashankari-bangalore/order
Dum Biryani Hub,3.1,"Biryani, North Indian, Chinese, Desserts, Beverages, Sichuan",¹ 100.00,47,60% OFF,https://www.zomato.com/bangalore/dum-biryani-hub-btm-bangalore/order
Sri Lakshmi Janardhana Iyengar Bakery,4.3,Bakery,¹ 100.00,40,NA,https://www.zomato.com/bangalore/sri-lakshmi-janardhana-iyengar-bakery-basaveshwara-nagar-bangalore/order
Casino Restaurant,4.1,"North Indian, Mughlai, Biryani, Chinese",¹ 100.00,46,NA,https://www.zomato.com/bangalore/casino-restaurant-new-bel-road-bangalore/order
Kalia's Kitchen,3.9,"North Indian, Rolls, Street Food",¹ 300.00,57,   125 OFF,https://www.zomato.com/bangalore/kalias-kitchen-btm-bangalore/order
Swathi Restaurant,4.3,"Seafood, North Indian, Chinese, Street Food",¹ 300.00,64,NA,https://www.zomato.com/bangalore/swathi-restaurant-jp-nagar-bangalore/order
Al Fillfilah Mandi Majlis,3.7,"Arabian, Rolls, North Indian, Mughlai",¹ 300.00,52,NA,https://www.zomato.com/bangalore/al-fillfilah-mandi-majlis-jayanagar-bangalore/order
Bun World,4.3,"Bakery, Fast Food, Beverages",¹ 300.00,43,NA,https://www.zomato.com/bangalore/bun-world-malleshwaram/order
Mangaluru Oota,4.2,"South Indian, Seafood, Chinese, Biryani",¹ 300.00,56,Free Kokum Juice,https://www.zomato.com/bangalore/mangaluru-oota-koramangala-6th-block-bangalore/order
Makhani Darbar,3.5,North Indian,¹ 300.00,43,60% OFF,https://www.zomato.com/bangalore/makhani-darbar-vasanth-nagar-bangalore/order
Queens Restaurant,4.3,"North Indian, Fast Food, Street Food, Desserts, Beverages",¹ 300.00,54,Flat 10% OFF,https://www.zomato.com/bangalore/queens-restaurant-new-bel-road-bangalore/order
Donne Biriyani Kendra,4.2,"Biryani, South Indian",¹ 300.00,48,NA,https://www.zomato.com/bangalore/donne-biriyani-kendra-1-banashankari-bangalore/order
Theertham Cafe,4,"South Indian, Ice Cream, Tea, Beverages",¹ 300.00,48,Free Kesari Bath,https://www.zomato.com/bangalore/theertham-cafe-koramangala-7th-block-bangalore/order
Xero Degrees,4,"Cafe, Coffee, Fast Food, Pizza, Burger, Sandwich, Waffle, Beverages",¹ 300.00,56,NA,https://www.zomato.com/bangalore/xero-degrees-koramangala-5th-block-bangalore/order
New Spice Tandoori,4.1,"Chinese, North Indian, South Indian, Andhra",¹ 300.00,51,NA,https://www.zomato.com/bangalore/new-spice-tandoori-basaveshwara-nagar-bangalore/order
South Idlis,4,"South Indian, Beverages",¹ 300.00,47,NA,https://www.zomato.com/bangalore/south-idlis-rajajinagar/order
Egg Zone,4.3,"Chinese, Street Food",¹ 100.00,51,NA,https://www.zomato.com/bangalore/egg-zone-vijay-nagar-bangalore/order
Midnight Cafeteria,3.5,"Fast Food, Chinese, Street Food, Desserts, Shake, Beverages",¹ 200.00,55,NA,https://www.zomato.com/bangalore/midnight-cafeteria-banashankari-bangalore/order
Vasavi Andhra Mess,3.7,"Andhra, South Indian, North Indian, Fast Food",¹ 150.00,45,NA,https://www.zomato.com/bangalore/vasavi-andhra-mess-malleshwaram-bangalore/order
Lucknowee - Nawabi Rolls & Kebabs,4.1,"Rolls, Biryani, Kebab, North Indian, Mughlai, Desserts",¹ 250.00,62,50% OFF,https://www.zomato.com/bangalore/lucknowee-nawabi-rolls-kebabs-koramangala-7th-block-bangalore/order
The Bangalore Cafe,4.1,"North Indian, Italian, Continental, Biryani, Chinese, Desserts",¹ 400.00,33,   125 OFF,https://www.zomato.com/bangalore/the-bangalore-cafe-1-shanti-nagar-bangalore/order
Sheesh Kebab,3.9,"North Indian, Biryani, Chinese, Rolls, Mughlai, Kebab, Desserts, Beverages",¹ 450.00,46,   100 OFF,https://www.zomato.com/bangalore/sheesh-kebab-frazer-town-bangalore/order
Hotel Savajis,4.2,"Biryani, South Indian",¹ 150.00,52,NA,https://www.zomato.com/bangalore/hotel-savajis-rajajinagar-bangalore/order
The Rolls Zone,4.1,"Rolls, Shake",¹ 150.00,46,NA,https://www.zomato.com/bangalore/the-rolls-zone-1-basavanagudi-bangalore/order
Jo Mess,4.2,"South Indian, Seafood",¹ 150.00,54,NA,https://www.zomato.com/bangalore/jo-mess-2-koramangala-2nd-block-bangalore/order
Thela Tapri By Sharma's Kitchen,3.8,"North Indian, Fast Food",¹ 100.00,62,20% OFF,https://www.zomato.com/bangalore/thela-tapri-by-sharmas-kitchen-btm-bangalore/order
Juice Junction,4.1,"Beverages, Sandwich, Juices, Shake",¹ 100.00,49,10% OFF,https://www.zomato.com/bangalore/juice-junction-koramangala-5th-block-bangalore/order
Vegan Vogue,4.3,"North Indian, Italian, Continental, Chinese, Desserts, Tea, Juices, Beverages",¹ 500.00,59,NA,https://www.zomato.com/bangalore/vegan-vogue-indiranagar-bangalore/order
Vani's Hyderabadi Biryani,3.9,Biryani,¹ 100.00,60,30% OFF,https://www.zomato.com/bangalore/vanis-hyderabadi-biryani-btm-bangalore/order
Sri Maruthi Hotel,4.2,"South Indian, Biryani",¹ 200.00,46,NA,https://www.zomato.com/bangalore/sri-maruthi-hotel-1-rajajinagar-bangalore/order
Biriyani Depot,4.2,"Biryani, South Indian",¹ 150.00,46,NA,https://www.zomato.com/bangalore/biriyani-depot-koramangala-6th-block-bangalore/order
Sri Sangameshwar Rotti Mane,4,"South Indian, Mithai",¹ 100.00,45,NA,https://www.zomato.com/bangalore/sri-sangameshwar-rotti-mane-vijay-nagar-bangalore/order
Yummy Sip N Bites,4.2,"Fast Food, Ice Cream, Desserts, Beverages",¹ 150.00,46,Free Death By Chocolate,https://www.zomato.com/bangalore/yummy-sip-n-bites-vijay-nagar-bangalore/order
Kannur Restaurant,3.4,"South Indian, Kerala, Chinese, Biryani, Mughlai, Beverages",¹ 200.00,65,NA,https://www.zomato.com/bangalore/kannur-restaurant-kammanahalli/order
Aramane Donne Biriyani,3.4,"Biryani, Andhra",¹ 150.00,64,NA,https://www.zomato.com/bangalore/aramane-donne-biriyani-1-banashankari-bangalore/order
Go Native,4.1,"Healthy Food, Desserts, Beverages, Coffee, Pizza, Oriental, Salad",¹ 500.00,29,NA,https://www.zomato.com/bangalore/go-native-1-lavelle-road-bangalore/order
Akram Hotel,3.4,"South Indian, Biryani, Mughlai",¹ 100.00,57,NA,https://www.zomato.com/bangalore/akram-hotel-kumaraswamy-layout-bangalore/order
Local Panda,4.4,"Chinese, Momos, Thai, Sichuan",¹ 150.00,57,NA,https://www.zomato.com/bangalore/local-panda-banashankari-bangalore/order
Shettys Red,4.2,"Mangalorean, Seafood, North Indian",¹ 150.00,54,NA,https://www.zomato.com/bangalore/shettys-red-banashankari-bangalore/order
Hotel Sanman,4.3,South Indian,¹ 40.00,44,NA,https://www.zomato.com/bangalore/hotel-sanman-basavanagudi-bangalore/order
Raj Restaurant,4.1,"Andhra, Biryani",¹ 250.00,32,NA,https://www.zomato.com/bangalore/raj-restaurant-majestic-bangalore/order
Merwans Cake Stop,4.5,Bakery,¹ 250.00,56,NA,https://www.zomato.com/bangalore/merwans-cake-stop-jayanagar-bangalore/order
Craving O Clock,4.2,"Burger, Sandwich, Wraps, Street Food, Fast Food, Shake, Beverages",¹ 250.00,66,NA,https://www.zomato.com/bangalore/craving-o-clock-btm-bangalore/order
Occasions,4.2,"Bakery, Desserts",¹ 250.00,60,Free Chocolate Brownie Box,https://www.zomato.com/bangalore/occasions-koramangala-4th-block/order
Bake N Bloom,3.9,"Bakery, Desserts",¹ 250.00,40,NA,https://www.zomato.com/bangalore/bake-n-bloom-residency-road-bangalore/order
Half Tea,4.2,"Tea, Coffee, Shake, Beverages, Pizza, Burger, Sandwich, Street Food",¹ 250.00,51,NA,https://www.zomato.com/bangalore/half-tea-1-basaveshwara-nagar-bangalore/order
Brahmins' Upahar,4.3,"South Indian, Street Food",¹ 250.00,42,NA,https://www.zomato.com/bangalore/brahmins-upahar-rt-nagar-bangalore/order
Uttar Karnataka Jolada Rotti Mattu Chapati Angadi,4.1,"South Indian, Mithai",¹ 250.00,49,NA,https://www.zomato.com/bangalore/uttar-karnataka-jolada-rotti-mattu-chapati-angadi-jayanagar-bangalore/order
Simpli Namdhari's,4.3,"Healthy Food, European, Pizza, Fast Food, Beverages",¹ 250.00,50,NA,https://www.zomato.com/bangalore/simpli-namdharis-jayanagar-bangalore/order
North Indian Food,3.5,Chinese,¹ 250.00,60,40% OFF,https://www.zomato.com/bangalore/north-indian-food-1-rajajinagar-bangalore/order
Chinese Square,4.2,"Chinese, Fast Food, Beverages, Shake",¹ 250.00,41,NA,https://www.zomato.com/bangalore/chinese-square-basavanagudi-bangalore/order
Momo Rice Noodles,3.4,"Momos, Chinese, Thai, Sichuan",¹ 250.00,56,NA,https://www.zomato.com/bangalore/momo-rice-noodles-btm-bangalore/order
Aasife Biriyani,3.9,Biryani,¹ 200.00,62,   125 OFF,https://www.zomato.com/bangalore/aasife-biriyani-koramangala-2nd-block-bangalore/order
South Stories,3.3,"South Indian, Pizza, Burger, Fast Food, Street Food, Desserts, Shake, Beverages",¹ 150.00,51,NA,https://www.zomato.com/bangalore/south-stories-vijay-nagar-bangalore/order
The Lassi Corner,3.8,"Fast Food, Street Food, Sandwich, Juices, Ice Cream, Beverages, Desserts, Shake",¹ 150.00,38,NA,https://www.zomato.com/bangalore/the-lassi-corner-sadashiv-nagar-bangalore/order
Shawarma Grill House,3.9,"Biryani, North Indian, Arabian, Chinese, Beverages",¹ 200.00,39,NA,https://www.zomato.com/bangalore/shawarma-grill-house-rajajinagar-bangalore/order
Uncle Peter's Pancakes,3.9,"Sandwich, American, Pancake, Desserts, Fast Food, Beverages",¹ 200.00,NA,20% OFF,https://www.zomato.com/bangalore/uncle-peters-pancakes-indiranagar-bangalore/order
Sri Maruthi Miltry Hotel,3.5,"South Indian, Biryani, Chinese",¹ 200.00,45,NA,https://www.zomato.com/bangalore/sri-maruthi-miltry-hotel-rajajinagar/order
Bist Dhaba,3.5,"Chinese, North Indian",¹ 150.00,66,NA,https://www.zomato.com/bangalore/bist-dhaba-btm-bangalore/order
Bolas Sweets & Savouries,4,Mithai,¹ 100.00,36,20% OFF,https://www.zomato.com/bangalore/bolas-sweets-savouries-wilson-garden-bangalore/order
Qissa,4.3,"Arabian, Lebanese, Turkish, Middle Eastern, Rolls, Beverages, Desserts",¹ 750.00,58,NA,https://www.zomato.com/bangalore/qissa-indiranagar-bangalore/order
Bentoz Pizza,3.4,"Pizza, Pasta, Italian, Fast Food, Beverages",¹ 100.00,67,50% OFF,https://www.zomato.com/bangalore/bentoz-pizza-koramangala-5th-block-bangalore/order
Chicago Pizza,3.8,"Pizza, Fast Food, Pasta",¹ 200.00,59,   150 OFF,https://www.zomato.com/bangalore/chicago-pizza-koramangala-5th-block-bangalore/order
Nomad Pizza - Traveller Series,4.2,"Pizza, Desserts, Beverages",¹ 400.00,46,   100 OFF,https://www.zomato.com/bangalore/nomad-pizza-traveller-series-commercial-street-bangalore/order
Utsav Restaurant,4.2,"North Indian, Chinese",¹ 150.00,44,NA,https://www.zomato.com/bangalore/utsav-restaurant-banashankari/order
Bunt's Biriyani Palace,3.7,"Biryani, Mughlai, Chinese, Seafood, Sichuan",¹ 150.00,50,NA,https://www.zomato.com/bangalore/bunts-biriyani-palace-banashankari/order
Shakes Theory,4.5,"Beverages, Fast Food, Sandwich, Momos, Street Food",¹ 150.00,54,NA,https://www.zomato.com/bangalore/shakes-theory-1-jayanagar-bangalore/order
Burma Burma - Brigade Road,4.4,"Burmese, Asian, Salad, Bubble Tea, Ice Cream, Desserts",¹ 150.00,39,NA,https://www.zomato.com/bangalore/burma-burma-brigade-road-brigade-road-bangalore/order
Witty Litti,3.9,"North Indian, Bihari, Momos",¹ 150.00,58,NA,https://www.zomato.com/bangalore/witty-litti-btm-bangalore/order
Cothas Coffee,4,"Coffee, Shake, Street Food",¹ 150.00,37,NA,https://www.zomato.com/bangalore/cothas-coffee-2-shivajinagar-bangalore/order
Basaveshwar Khanavali,4.4,South Indian,¹ 150.00,36,NA,https://www.zomato.com/bangalore/basaveshwar-khanavali-3-majestic-bangalore/order
L&K's Pizza,4.4,Pizza,¹ 150.00,60,NA,https://www.zomato.com/bangalore/l-ks-pizza-jayanagar-bangalore/order
The Baklava Company,3.7,"Mithai, Desserts",¹ 150.00,67,NA,https://www.zomato.com/bangalore/the-baklava-company-kammanahalli-bangalore/order
Adukale,3.9,"South Indian, Street Food",¹ 150.00,47,Free Rice Kodubale | Best Indian Snack | Adukale - 180g Pack,https://www.zomato.com/bangalore/adukale-basavanagudi-bangalore/order
Salt Mango Tree,4.1,"Kerala, Biryani, South Indian, Seafood, Chinese, Desserts, Beverages",¹ 150.00,55,NA,https://www.zomato.com/bangalore/salt-mango-tree-indiranagar/order
Raghavendra Upahara,4.2,"South Indian, Street Food, Chinese, Beverages, Desserts",¹ 150.00,54,NA,https://www.zomato.com/bangalore/raghavendra-upahara-jayanagar/order
Boba Bar By Frozen Bottle,3.7,"Bubble Tea, Beverages",¹ 100.00,44,30% OFF,https://www.zomato.com/bangalore/boba-bar-by-frozen-bottle-city-market-bangalore/order
Shree Guru Sagar,3.8,"Chinese, North Indian, South Indian, Beverages",¹ 150.00,50,NA,https://www.zomato.com/bangalore/shree-guru-sagar-basaveshwara-nagar/order
Iyengar's Delicacies,4.2,"South Indian, North Indian, Chinese",¹ 100.00,31,NA,https://www.zomato.com/bangalore/iyengars-delicacies-richmond-road-bangalore/order
Al-Zaitoon Restaurant & Grills,3.7,"North Indian, Arabian, Chinese, Rolls, Seafood",¹ 400.00,35,NA,https://www.zomato.com/bangalore/al-zaitoon-restaurant-grills-richmond-town-bangalore/order
Punjabi Swag,3.7,"North Indian, Mughlai, Biryani, Chinese, Asian, Desserts",¹ 500.00,60,   200 OFF,https://www.zomato.com/bangalore/punjabi-swag-btm/order
Indian Coffee House & Restaurant,4.2,"South Indian, North Indian, Mughlai, Biryani, Chinese, Fast Food, Juices, Beverages",¹ 400.00,52,NA,https://www.zomato.com/bangalore/indian-coffee-house-restaurant-koramangala-5th-block/order
RR Fish Land,3.9,"Seafood, Chinese, Biryani",¹ 150.00,49,NA,https://www.zomato.com/bangalore/rr-fish-land-jayanagar-bangalore/order
Mom's Dabba,3.7,North Indian,¹ 150.00,56,NA,https://www.zomato.com/bangalore/moms-dabba-koramangala-7th-block-bangalore/order
Cafe Gujjubhai,3.8,Gujarati,¹ 100.00,51,NA,https://www.zomato.com/bangalore/cafe-gujjubhai-jayanagar-bangalore/order
Sweets By Bhartiya Jalpan,4.2,"Mithai, North Indian, Street Food",¹ 400.00,56,NA,https://www.zomato.com/bangalore/sweets-by-bhartiya-jalpan-indiranagar-bangalore/order
Atithi Satkaar,4.1,"North Indian, South Indian, Chinese, Fast Food, Ice Cream, Beverages, Shake, Sichuan",¹ 250.00,33,NA,https://www.zomato.com/bangalore/atithi-satkaar-city-market-bangalore/order
Naati Cafe,4.3,"Biryani, South Indian",¹ 350.00,47,NA,https://www.zomato.com/bangalore/naati-cafe-ulsoor-bangalore/order
Ambur Darbar Biryani Point,3.9,"Biryani, South Indian, Chinese",¹ 100.00,34,20% OFF,https://www.zomato.com/bangalore/ambur-darbar-biryani-point-rt-nagar-bangalore/order
Mangalore Pearl - Seafood Restaurant,4.3,"Mangalorean, Seafood, Desserts",¹ 100.00,44,NA,https://www.zomato.com/bangalore/mangalore-pearl-seafood-restaurant-ulsoor-bangalore/order
The Light House Restaurant,4.3,"North Indian, Chinese, Seafood, Desserts, Beverages, Shake, Juices",¹ 100.00,48,NA,https://www.zomato.com/bangalore/the-light-house-restaurant-new-bel-road-bangalore/order
Udupi Brahmins Kitchen,4.3,"Chinese, South Indian",¹ 100.00,44,NA,https://www.zomato.com/bangalore/udupi-brahmins-kitchen-vijay-nagar-bangalore/order
Zed The Baker,4.1,"Bakery, Pizza, Pasta, Chinese, Sandwich, Coffee, Juices, Beverages",¹ 100.00,31,   200 OFF,https://www.zomato.com/bangalore/zed-the-baker-church-street-bangalore/order
SGS Non Veg Gundu Palav,4.1,South Indian,¹ 100.00,44,NA,https://www.zomato.com/bangalore/sgs-non-veg-gundu-palav-1-malleshwaram-bangalore/order
Myfroyoland Premium Frozen Yoghurt,3.8,"Ice Cream, Desserts, Frozen Yogurt",¹ 100.00,36,   100 OFF,https://www.zomato.com/bangalore/myfroyoland-premium-frozen-yoghurt-seshadripuram-bangalore/order
Navya Foods,4,"North Indian, Mughlai, Chinese, Biryani",¹ 100.00,44,NA,https://www.zomato.com/bangalore/navya-foods-btm-bangalore/order
Eshanya Street Food Cafe,3.9,"North Indian, Chinese, Biryani, Ice Cream, Desserts, Beverages",¹ 100.00,56,NA,https://www.zomato.com/bangalore/eshanya-street-food-cafe-jayanagar-bangalore/order
Big Bang Pizza,4.1,"Pizza, Pasta, Burger, Fast Food, Beverages",¹ 100.00,47,NA,https://www.zomato.com/bangalore/big-bang-pizza-3-frazer-town-bangalore/order
Crown Land Restaurant,4,South Indian,¹ 100.00,37,NA,https://www.zomato.com/bangalore/crown-land-restaurant-langford-town-bangalore/order
Momoz,3.7,"Chinese, Momos, Seafood, Thai, Sichuan",¹ 100.00,65,NA,https://www.zomato.com/bangalore/momoz-btm/order
Rajanna Military Hotel,3.9,"South Indian, Biryani",¹ 200.00,50,NA,https://www.zomato.com/bangalore/rajanna-military-hotel-2-basaveshwara-nagar-bangalore/order
Hornbill   s Kitchen,4.2,"South Indian, Naga, Beverages",¹ 400.00,60,NA,https://www.zomato.com/bangalore/hornbills-kitchen-koramangala-7th-block-bangalore/order
Soni   s Cafe - Juice & Sandwiches,4,"Sandwich, Pizza, Pasta, Shake, Juices, Beverages",¹ 200.00,45,Free Mushroom Onion Grilled Sandwich,https://www.zomato.com/bangalore/sonis-cafe-juice-sandwiches-rajajinagar-bangalore/order
Sakath Momos,3.6,"Momos, Street Food, Fast Food",¹ 150.00,43,Free Brownie Shake,https://www.zomato.com/bangalore/sakath-momos-basavanagudi-bangalore/order
Crepito,3.9,"Pizza, Burger, Sandwich, Fast Food, Chinese, Street Food, Beverages, Desserts",¹ 300.00,61,Free Masala Macaroni Pasta,https://www.zomato.com/bangalore/crepito-rajajinagar-bangalore/order
The Fritter Company,4.1,"Burger, American, Sandwich, Salad, Wraps, Drinks Only, Desserts",¹ 150.00,61,   125 OFF,https://www.zomato.com/bangalore/the-fritter-company-btm-bangalore/order
Ice Fort,4.3,"Ice Cream, Desserts, Beverages, Shake, Sandwich",¹ 150.00,53,NA,https://www.zomato.com/bangalore/ice-fort-vijay-nagar/order
Juice Therapy,4.2,"Beverages, Juices, Desserts",¹ 100.00,60,NA,https://www.zomato.com/bangalore/juice-therapy-hosur-road-bangalore/order
Keventers - Milkshakes & Desserts,4.3,"Beverages, Shake",¹ 200.00,36,40% OFF,https://www.zomato.com/bangalore/keventers-milkshakes-desserts-brigade-road-bangalore/order
Rishi's Paratha Plaza,4.4,"North Indian, Fast Food, Street Food, Beverages, Desserts",¹ 100.00,50,NA,https://www.zomato.com/bangalore/rishis-paratha-plaza-sanjay-nagar/order
The Boba King,3.9,"Bubble Tea, Sandwich, Burger, Juices",¹ 150.00,36,NA,https://www.zomato.com/bangalore/the-boba-king-brigade-road-bangalore/order
Navya Samrat,4.4,"North Indian, Chinese, South Indian, Ice Cream, Desserts, Beverages",¹ 350.00,31,NA,https://www.zomato.com/bangalore/navya-samrat-infantry-road-bangalore/order
Sea Spice,4.3,"Biryani, South Indian, Seafood, Chinese, North Indian, Sichuan",¹ 250.00,49,NA,https://www.zomato.com/bangalore/sea-spice-malleshwaram-bangalore/order
Hotel Empark,4,"South Indian, North Indian, Chinese, Mughlai, Biryani, Street Food, Beverages",¹ 250.00,41,NA,https://www.zomato.com/bangalore/hotel-empark-wilson-garden/order
Orange Bake And Juice,4,"Bakery, Desserts",¹ 250.00,52,NA,https://www.zomato.com/bangalore/orange-bake-and-juice-btm-bangalore/order
Shree Ganesh Fruits Juice,3.8,"Beverages, Juices, Fast Food",¹ 250.00,46,NA,https://www.zomato.com/bangalore/shree-ganesh-fruits-juice-rajajinagar-bangalore/order
Basaveshwara Khanavali,3.9,South Indian,¹ 250.00,56,NA,https://www.zomato.com/bangalore/basaveshwara-khanavali-koramangala-1st-block-bangalore/order
Sri Krishna Nandagokula Veg,4.1,"South Indian, North Indian, Chinese, Street Food, Beverages",¹ 250.00,58,NA,https://www.zomato.com/bangalore/sri-krishna-nandagokula-veg-indiranagar-bangalore/order
Champak,4,"North Indian, Biryani",¹ 250.00,55,Free Gulam Jamoon,https://www.zomato.com/bangalore/champak-1-koramangala-6th-block-bangalore/order
Cheesecakes By CakeZone,4,"Bakery, Desserts, Mithai",¹ 250.00,53,50% OFF,https://www.zomato.com/bangalore/cheesecakes-by-cakezone-hosur-road-bangalore/order
Lassi 'n' Mock,4.1,"Desserts, Beverages, Ice Cream, Sandwich, Salad, Shake, Juices, Healthy Food",¹ 250.00,46,NA,https://www.zomato.com/bangalore/lassi-n-mock-sanjay-nagar-bangalore/order
Curry Leaves,4,"Andhra, North Indian, Chinese, Biryani, Seafood, Beverages, Desserts",¹ 250.00,61,NA,https://www.zomato.com/bangalore/curry-leaves-basavanagudi/order
Aaha Nati Style,3.5,"North Indian, Biryani, Mughlai, Chinese",¹ 250.00,46,NA,https://www.zomato.com/bangalore/aaha-nati-style-vijay-nagar-bangalore/order
Chillies,4.1,"South Indian, Biryani, Street Food, Juices, Beverages",¹ 250.00,62,   175 OFF,https://www.zomato.com/bangalore/chillies-koramangala-5th-block-bangalore/order
S G Rao   s Military Hotel,4.2,"South Indian, Biryani",¹ 150.00,40,NA,https://www.zomato.com/bangalore/s-g-raos-military-hotel-majestic-bangalore/order
Sultans Of Spice,3.9,"North Indian, Mughlai, Afghan, Biryani, Desserts, Beverages",¹ 150.00,59,NA,https://www.zomato.com/bangalore/sultans-of-spice-koramangala-5th-block-bangalore/order
Juice Junction & Snacks,4.2,"Fast Food, Sandwich, Rolls, Beverages, Shake, Juices",¹ 150.00,56,NA,https://www.zomato.com/bangalore/juice-junction-snacks-jayanagar-bangalore/order
Mumbai Masala,4,"Street Food, Fast Food",¹ 150.00,45,NA,https://www.zomato.com/bangalore/mumbai-masala-1-basavanagudi-bangalore/order
Royal Savera Family Restaurant,4.2,"North Indian, Mughlai, Chinese, Rolls",¹ 150.00,43,NA,https://www.zomato.com/bangalore/royal-savera-family-restaurant-frazer-town-bangalore/order
Donne Biriyani Angadi Mane,4.2,"South Indian, Biryani",¹ 150.00,44,NA,https://www.zomato.com/bangalore/donne-biriyani-angadi-mane-rajajinagar-bangalore/order
Madhappa Hindu Military Hotel,4.5,South Indian,¹ 150.00,62,NA,https://www.zomato.com/bangalore/madhappa-hindu-military-hotel-banashankari/order
Nisarga Garden Restaurant,3.9,"South Indian, Chinese, Desserts, Beverages",¹ 150.00,49,10% OFF,https://www.zomato.com/bangalore/nisarga-garden-restaurant-basavanagudi/order
DiabeSmart - Sugarfree Foods,3,"Healthy Food, North Indian, Sandwich, Salad",¹ 150.00,36,30% OFF,https://www.zomato.com/bangalore/diabesmart-sugarfree-foods-shanti-nagar-bangalore/order
Round The Clock,3.6,"South Indian, Seafood",¹ 150.00,54,NA,https://www.zomato.com/bangalore/round-the-clock-banashankari-bangalore/order
Maddani Foods Nati Style,2.9,"Biryani, South Indian",¹ 150.00,57,NA,https://www.zomato.com/bangalore/maddani-foods-nati-style-rajajinagar-bangalore/order
Abees Mess,4,"Kerala, Chinese, South Indian",¹ 150.00,45,NA,https://www.zomato.com/bangalore/abees-mess-btm-bangalore/order
Nimma Mane,3.5,"South Indian, Chinese",¹ 150.00,49,NA,https://www.zomato.com/bangalore/nimma-mane-1-domlur-bangalore/order
Amaiya - The Bakehouse,4,"Bakery, Desserts, Beverages",¹ 150.00,49,20% OFF,https://www.zomato.com/bangalore/amaiya-the-bakehouse-ulsoor-bangalore/order
San Tung Chinese,4.1,"Chinese, Momos, Sichuan",¹ 150.00,43,NA,https://www.zomato.com/bangalore/san-tung-chinese-malleshwaram-bangalore/order
ZOROY Luxury Chocolate,4.4,"Desserts, Ice Cream, Beverages",¹ 150.00,27,NA,https://www.zomato.com/bangalore/zoroy-luxury-chocolate-church-street/order
Luckhnow Street,4.1,"Awadhi, Rolls, Biryani, Lucknowi, Desserts",¹ 150.00,29,NA,https://www.zomato.com/bangalore/luckhnow-street-st-marks-road-bangalore/order
abCoffee,4,Coffee,¹ 150.00,NA,30% OFF,https://www.zomato.com/bangalore/abcoffee-1-domlur-bangalore/order
Edesia,3.6,"Desserts, Pasta, Sandwich",¹ 150.00,41,60% OFF,https://www.zomato.com/bangalore/edesia-richmond-road-bangalore/order
Naachiyar's,4.1,"Chettinad, Biryani, Seafood",¹ 150.00,39,   200 OFF,https://www.zomato.com/bangalore/naachiyars-1-ulsoor/order
Boba Tree,4.4,"Tea, Beverages",¹ 150.00,33,NA,https://www.zomato.com/bangalore/boba-tree-brigade-road-bangalore/order
The Sandwich Wala,3.6,"Sandwich, Fast Food",¹ 150.00,53,NA,https://www.zomato.com/bangalore/the-sandwich-wala-basavanagudi-bangalore/order
Jalaram Sweets,4.4,Mithai,¹ 150.00,48,NA,https://www.zomato.com/bangalore/jalaram-sweets-jayanagar/order
Kappa City,4.3,"Kerala, Seafood, South Indian",¹ 150.00,60,20% OFF,https://www.zomato.com/bangalore/kappa-city-btm-bangalore/order
Bala Pankaj Restaurant,4.3,"South Indian, Chinese, North Indian, Fast Food, Arabian, Biryani, Beverages, Shake",¹ 150.00,59,NA,https://www.zomato.com/bangalore/bala-pankaj-restaurant-3-btm-bangalore/order
Santhanam Balaji Sweets,4.4,Mithai,¹ 100.00,57,NA,https://www.zomato.com/bangalore/santhanam-balaji-sweets-kammanahalli-bangalore/order
New Aaradhya Food Line,4.2,"Fast Food, North Indian",¹ 200.00,51,NA,https://www.zomato.com/bangalore/new-aaradhya-food-line-jayanagar-bangalore/order
Star Ambur Biryani & Kabab,4.2,"Biryani, South Indian, North Indian",¹ 200.00,47,NA,https://www.zomato.com/bangalore/star-ambur-biryani-kabab-jayanagar-bangalore/order
Karnataka State Co-Operative Fisheries Federation Mysore,4,Seafood,¹ 150.00,46,NA,https://www.zomato.com/bangalore/karnataka-state-co-operative-fisheries-federation-mysore-jayanagar-bangalore/order
Ragoo's,4.1,"Italian, Pizza, Pasta, North Indian, Salad, Fast Food, Beverages",¹ 350.00,50,50% OFF,https://www.zomato.com/bangalore/ragoos-jayanagar/order
Svadu Pure Ghee Sweets,3.3,"Fast Food, Street Food, Mithai, Desserts",¹ 200.00,50,NA,https://www.zomato.com/bangalore/svadu-pure-ghee-sweets-1-btm-bangalore/order
Sangam Military Hotel,4.2,South Indian,¹ 200.00,47,NA,https://www.zomato.com/bangalore/sangam-military-hotel-jayanagar/order
Nisarga Garden,4,"South Indian, Chinese, Sichuan, North Indian, Biryani, Street Food, Shake, Beverages",¹ 350.00,45,10% OFF,https://www.zomato.com/bangalore/nisarga-garden-1-basavanagudi-bangalore/order
Hem Biriyani Bowl,2.8,"Biryani, South Indian",¹ 100.00,58,Free Buttermilk,https://www.zomato.com/bangalore/hem-biriyani-bowl-basaveshwara-nagar-bangalore/order
